Designator,Footprint,Quantity,Value,LCSC Part #
C10,0603,1,220pF,C5255295
C14,0603,1,10n,C307331
"C2, C3",0603,2,0.1uF,C19702
C4,0603,1,0.1uF,C307331
C5,0603,1,4.7u,C307331
"C8, C9",0603,2,1uF,
D1,D_SOD-323_HandSoldering,1,1N5819,
F1,1206,1,500mA,C70076
"G1, G10, G11, G12, G13, G14, G15, G16, G17, G18, G19, G2, G20, G21, G23, G24, G25, G26, G27, G28, G3, G4, G5, G6, G7, G8, G9",ecs_housing_graphic,27,~,
G22,ecs_housing_graphic_1.5U,1,~,
H0,SMT-SO-M1.6-with-ring,1,~,
"H1, H10, H11, H12, H13, H14, H15, H16, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.05mm,16,~,
H17,PinHeader_1x01,1,~,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SM04B-SRSS-TB,
J2,Jack_3.5mm_PJ320D_Horizontal,1,PJ320D,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO_TYPE-C-31-M-12,
J4,CONN8_FH34SRJ_HIR,1,Conn_01x08_MountingPin,
L1,1206,1,60R@100MHz,
R1,0603,1,1k,
"R10, R4, R9",0603,3,10k,
"R2, R3",0603,2,5.1k,
R5,0603,1,5.6k,
R6,0603,1,1k,C3152127
R7,0603,1,100k,C3152121
"RN1, RN2",R_Array_Concave_4x0603,2,1k R_Array_Concave_4x0603,
RN3,R_Array_Concave_4x0603,1,100 R_Array_Convex_4x0603,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW4, SW5, SW6, SW7, SW8, SW9",ecs_pad_no_ring,28,~,
SW29,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,1,PTS845,
TP1,PinHeader_1x04_P2.54mm_test_pad,1,~,
U1,TSSOP-16_4.4x5mm_P0.65mm,1,74HC4051,C5645
U2,SO-8_3.9x4.9mm_P1.27mm,1,OPA350UA,
U3,SOT-363_SC-70-6_Handsoldering,1,DT1446-04S,
U4,SOT-23-5,1,XC6220B331MR-G,
U5,LQFP-32_7x7mm_P0.8mm,1,STM32G0B1KETx,
U6,SOT-23-5_2P9X1P6_MCH,1,24FC01T-I/OT,
