Designator,Mid X,Mid Y,Rotation,Layer
C10,82.226022,-101.661,0.0,top
C11,86.514022,-89.739,0.0,top
C12,85.401022,-91.589,0.0,top
C13,85.425022,-93.975,270.0,top
C14,72.935,-74.27,180.0,top
C2,77.250022,-93.117,90.0,top
C3,75.223022,-108.061,270.0,top
C4,79.063,-79.465,0.0,top
C5,76.561,-80.381,90.0,top
C6,73.833,-79.987,0.0,top
C7,72.800022,-85.726,90.0,top
C8,82.393061,-62.538,180.0,top
C9,82.393061,-68.478,180.0,top
D1,86.503022,-46.314,0.0,top
F1,86.175,-43.539,180.0,top
FB1,87.650022,-92.255,90.0,top
G1,195.0,-45.375,270.0,top
G10,157.0,-97.625,270.0,top
G11,138.0,-57.25,270.0,top
G12,138.0,-76.25,270.0,top
G13,138.0,-95.25,270.0,top
G14,119.0,-59.625,270.0,top
G15,119.0,-78.625,270.0,top
G16,119.0,-97.625,270.0,top
G17,100.0,-62.0,270.0,top
G18,100.0,-81.0,270.0,top
G19,100.0,-100.0,90.0,bottom
G2,195.0,-64.375,270.0,top
G20,128.5,-117.25,180.0,top
G21,107.500192,-120.000351,285.0,top
G22,85.250001,-123.750543,120.0,top
G23,176.0,-45.375,270.0,top
G24,157.0,-40.625,270.0,top
G25,138.0,-38.25,270.0,top
G26,119.0,-40.625,270.0,top
G27,100.0,-43.0,270.0,top
G28,147.5,-117.25,0.0,bottom
G3,195.0,-83.375,270.0,top
G4,195.0,-102.375,270.0,top
G5,176.0,-64.375,270.0,top
G6,176.0,-83.375,270.0,top
G7,176.0,-102.375,270.0,top
G8,157.0,-59.625,270.0,top
G9,157.0,-78.625,270.0,top
H17,83.042,-40.482,90.0,top
J1,73.227,-65.73,270.0,top
J2,77.93,-49.4,0.0,top
J3,76.95,-38.06,180.0,top
J4,80.5,-76.543,0.0,top
L1,86.375,-40.752,180.0,top
R1,74.539022,-85.715,270.0,top
R10,76.716,-76.832,270.0,top
R2,79.129,-43.765,0.0,top
R3,74.137,-43.765,180.0,top
R4,87.752,-64.951,180.0,top
R5,87.752,-66.708,180.0,top
R6,77.193022,-100.359,270.0,top
R7,77.219022,-96.696,270.0,top
R8,76.966,-72.75,90.0,top
R9,75.341,-73.56,90.0,top
RN1,86.834,-107.765,90.0,top
RN2,79.716,-111.643,0.0,top
RN3,88.594022,-86.9,270.0,top
SW1,195.0,-45.375,0.0,top
SW10,157.0,-97.625,0.0,top
SW11,138.0,-57.25,0.0,top
SW12,138.0,-76.25,0.0,top
SW13,138.0,-95.25,0.0,top
SW14,119.0,-59.625,0.0,top
SW15,119.0,-78.625,0.0,top
SW16,119.0,-97.625,0.0,top
SW17,100.0,-62.0,0.0,top
SW18,100.0,-81.0,0.0,top
SW19,100.0,-100.0,0.0,top
SW2,195.0,-64.375,0.0,top
SW20,128.5,-117.25,270.0,top
SW21,107.5,-120.0,270.0,top
SW22,85.25,-123.75,270.0,top
SW23,176.0,-45.375,0.0,top
SW24,157.0,-40.625,0.0,top
SW25,138.0,-38.25,0.0,top
SW26,119.0,-40.625,0.0,top
SW27,100.0,-43.0,0.0,top
SW28,147.5,-117.25,270.0,top
SW29,86.35,-35.617,180.0,top
SW3,195.0,-83.74874,315.0,top
SW4,195.0,-102.375,45.0,top
SW5,176.0,-64.37465,0.0,top
SW6,176.0,-83.74874,0.0,top
SW7,176.0,-102.375,0.0,top
SW8,157.0,-59.625,0.0,top
SW9,157.0,-78.625,0.0,top
TP1,76.935,-61.42,0.0,top
U1,80.169,-106.905,90.0,top
U2,81.040022,-96.812,90.0,top
U3,78.752,-57.718,180.0,top
U4,82.213,-65.547,90.0,top
U5,81.143,-85.547,270.0,top
U6,73.833,-76.914,0.0,top
Y1,73.752939,-82.463,0.0,top
