Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,183.289,-31.934,0.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,190.36,-86.265,0.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,184.309,-103.516,0.0,top
C4,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm,182.453,-80.646,180.0,top
C5,4.7u,C_0603_1608Metric_Pad1.05x0.95mm,182.453,-78.948,180.0,top
C6,5.6p,C_0603_1608Metric_Pad1.05x0.95mm,182.692,-72.862,0.0,top
C7,5.6p,C_0603_1608Metric_Pad1.05x0.95mm,181.027,-76.255,-90.0,top
C8,1uF,C_0603_1608Metric_Pad1.05x0.95mm,188.041,-61.852,180.0,top
C9,1uF,C_0603_1608Metric_Pad1.05x0.95mm,191.054,-58.574,-90.0,top
C10,220pF,C_0603_1608Metric_Pad1.05x0.95mm,192.917,-95.894,180.0,top
D1,1N5819,D_SOD-323_HandSoldering,184.84,-40.513,90.0,top
F1,500mA,Fuse_1206_3216Metric,184.075,-36.864,0.0,top
G1,~,ecs_housing_graphic,75.25,-38.7,90.0,top
G2,~,ecs_housing_graphic,75.25,-57.7,90.0,top
G3,~,ecs_housing_graphic,75.25,-76.7,90.0,top
G4,~,ecs_housing_graphic,75.25,-95.7,90.0,top
G5,~,ecs_housing_graphic,94.25,-57.7,90.0,top
G6,~,ecs_housing_graphic,94.25,-76.7,90.0,top
G7,~,ecs_housing_graphic,94.25,-95.7,90.0,top
G8,~,ecs_housing_graphic,113.25,-52.95,90.0,top
G9,~,ecs_housing_graphic,113.25,-71.95,90.0,top
G10,~,ecs_housing_graphic,113.25,-90.95,90.0,top
G11,~,ecs_housing_graphic,132.25,-50.575,90.0,top
G12,~,ecs_housing_graphic,132.25,-69.575,90.0,top
G13,~,ecs_housing_graphic,132.25,-88.575,90.0,top
G14,~,ecs_housing_graphic,151.25,-52.95,90.0,top
G15,~,ecs_housing_graphic,151.25,-71.95,90.0,top
G16,~,ecs_housing_graphic,151.25,-90.95,90.0,top
G17,~,ecs_housing_graphic,170.25,-55.325,90.0,top
G18,~,ecs_housing_graphic,170.25,-74.325,90.0,top
G19,~,ecs_housing_graphic,170.25,-93.325,90.0,top
G20,~,ecs_housing_graphic,141.75,-110.575,0.0,top
G21,~,ecs_housing_graphic,162.749808,-113.325351,-105.0,top
G22,~,ecs_housing_graphic_1.5U,184.999999,-117.075543,60.0,top
G23,~,ecs_housing_graphic,94.25,-38.7,90.0,top
G24,~,ecs_housing_graphic,113.25,-33.95,90.0,top
G25,~,ecs_housing_graphic,132.25,-31.575,90.0,top
G26,~,ecs_housing_graphic,151.25,-33.95,90.0,top
G27,~,ecs_housing_graphic,170.25,-36.325,90.0,top
G28,~,ecs_housing_graphic,122.75,-110.575,180.0,bottom
H17,~,PinHeader_1x01,187.208,-33.807,-90.0,top
J1,SM04B-SRSS-TB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,197.023,-58.555,90.0,top
J2,PJ320D,Jack_3.5mm_PJ320D_Horizontal,192.32,-42.725,180.0,top
J3,HRO_TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,193.3,-29.925,180.0,top
J4,FH34SRJ-10S-0.5SH,HRS_FH34SRJ-10S-0.5SH(50),182.137,-68.307,-90.0,top
L1,60R@100MHz,L_1206_3216Metric,183.875,-34.077,0.0,top
R1,1k,R_0603_1608Metric_Pad0.98x0.95mm,195.915,-80.199,-90.0,top
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm,196.113,-37.09,0.0,top
R3,5.1k,R_0603_1608Metric_Pad0.98x0.95mm,191.121,-37.09,180.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm,182.456,-40.182,-90.0,top
R5,5.6k,R_0603_1608Metric_Pad0.98x0.95mm,185.454,-44.475,-90.0,top
R6,1k,R_0603_1608Metric_Pad0.98x0.95mm,188.203,-94.546,-90.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm,188.189,-90.994,-90.0,top
RN1,1k R_Array_Concave_4x0603,R_Array_Concave_4x0603,183.416,-100.59,180.0,top
RN2,1k R_Array_Concave_4x0603,R_Array_Concave_4x0603,190.534,-104.968,-90.0,top
RN3,4x1206 100 resistor array,R_Array_Concave_4x0603,182.473,-83.464,0.0,top
SW1,~,ecs_pad_no_ring,75.25,-38.7,180.0,top
SW2,~,ecs_pad_no_ring,75.25,-57.7,180.0,top
SW3,~,ecs_pad_no_ring,75.25,-77.07374,-135.0,top
SW4,~,ecs_pad_no_ring,75.25,-95.7,135.0,top
SW5,~,ecs_pad_no_ring,94.25,-57.69965,180.0,top
SW6,~,ecs_pad_no_ring,94.25,-77.07374,180.0,top
SW7,~,ecs_pad_no_ring,94.25,-95.7,180.0,top
SW8,~,ecs_pad_no_ring,113.25,-52.95,180.0,top
SW9,~,ecs_pad_no_ring,113.25,-71.95,180.0,top
SW10,~,ecs_pad_no_ring,113.25,-90.95,180.0,top
SW11,~,ecs_pad_no_ring,132.25,-50.575,180.0,top
SW12,~,ecs_pad_no_ring,132.25,-69.575,180.0,top
SW13,~,ecs_pad_no_ring,132.25,-88.575,180.0,top
SW14,~,ecs_pad_no_ring,151.25,-52.95,180.0,top
SW15,~,ecs_pad_no_ring,151.25,-71.95,180.0,top
SW16,~,ecs_pad_no_ring,151.25,-90.95,180.0,top
SW17,~,ecs_pad_no_ring,170.25,-55.325,180.0,top
SW18,~,ecs_pad_no_ring,170.25,-74.325,180.0,top
SW19,~,ecs_pad_no_ring,170.25,-93.325,180.0,top
SW20,~,ecs_pad_no_ring,141.75,-110.575,-90.0,top
SW21,~,ecs_pad_no_ring,162.75,-113.325,-90.0,top
SW22,~,ecs_pad_no_ring,185.0,-117.075,-90.0,top
SW23,~,ecs_pad_no_ring,94.25,-38.7,180.0,top
SW24,~,ecs_pad_no_ring,113.25,-33.95,180.0,top
SW25,~,ecs_pad_no_ring,132.25,-31.575,180.0,top
SW26,~,ecs_pad_no_ring,151.25,-33.95,180.0,top
SW27,~,ecs_pad_no_ring,170.25,-36.325,180.0,top
SW28,~,ecs_pad_no_ring,122.75,-110.575,-90.0,top
SW29,PTS845,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,183.9,-28.942,180.0,top
TP1,~,PinHeader_1x04_P2.54mm_test_pad,193.315,-62.365,180.0,top
U1,74HC4051,TSSOP-16_4.4x5mm_P0.65mm,190.081,-100.23,180.0,top
U2,OPA350UA,SO-8_3.9x4.9mm_P1.27mm,191.993,-90.978,90.0,top
U3,DT1446-04S,SOT-363_SC-70-6_Handsoldering,191.498,-51.043,180.0,top
U4,XC6220B331MR-G,SOT-23-5,188.037,-58.872,-90.0,top
U5,STM32G0B0KET6,LQFP-32_7x7mm_P0.8mm,189.707,-78.872,0.0,top
Y1,NX3215SA,Crystal_SMD_3215-2Pin_3.2x1.5mm,183.159,-75.87,90.0,top
