Designator,Footprint,Quantity,Value,LCSC Part #
"C10_2, C10",0603,2,220pF,C5255295
"C11, C15",0603,2,4.7 uF,C307331
"C12, C17",0603,2,1u,C52923
"C13, C14_2, C14, C16",0603,4,10n,C307331
"C2_2, C2, C3_2, C3",0603,4,0.1uF,C19702
"C4_2, C4, C5_2, C5",0603,4,0.1uF,C307331
"C6_2, C6, C7_2, C7",0603,4,10pF,C307331
"C8_2, C8, C9_2, C9",0603,4,1uF,
"D1_2, D1",D_SOD-323_HandSoldering,2,1N5819,
"F1_2, F1",1206,2,500mA,C70076
"FB1_2, FB1",0603,2,1kΩ 100mhz,
"H13_2, H13, H14_2, H14, H15_2, H15, H16_2, H16, H18_2, H18, H19_2, H19",SMT-SO-M1.6-screwhole_only,12,~,
"H3, H4",SMT-SO-M1.6-with-ring,2,~,
J1_2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM04B-SRSS-TB,
"J2_2, J2",Jack_3.5mm_PJ320D_Horizontal,2,PJ320D,
"J3_2, J3",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,HRO_TYPE-C-31-M-12,
"J4_3, J4_2, J4",CONN6x1_FH34SRJ-6S-0.5SH50_HIR,3,HRS_FH34SRJ-06S-0.5SH(50),
"L1_2, L1",1206,2,60R@100MHz,
"R1_2, R1, R10_2, R10, R4_2, R8_2, R9_2, R9",0603,8,10k,
"R2_2, R2, R3_2, R3, R4, R5",0603,6,5.1k,
"R6_2, R6",0603,2,1k,C3152127
"R7_2, R7",0603,2,100k,C3152121
R8,0603,1,1k,
"RN1_2, RN1, RN2_2, RN2",R_Array_Concave_4x0603,4,100k R_Array_Concave_4x0603,
RN3_2,R_Array_Concave_4x0603,1,100 R_Array_Convex_4x0603,
RN3,R_Array_Concave_4x0603,1,100 R_Array_Convex_4x1206,
"SW29_2, SW29",SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,2,PTS845,
"U1_2, U1",TSSOP-16_4.4x5mm_P0.65mm,2,74HC4051,C5645
"U2_2, U2",SO-8_3.9x4.9mm_P1.27mm,2,OPA350UA,
"U3_2, U3",SOT-143,2,PRTR5V0U2X,C2827688
"U4_2, U4",SOT-23-5,2,XC6220B331MR-G,
"U5_2, U5",LQFP-32_7x7mm_P0.8mm,2,STM32G431KBTx,
"U6_2, U6",SOT-23-5_2P9X1P6_MCH,2,24FC01T-I/OT,
"Y1_2, Y1",Crystal_SMD_2520-4Pin_2.5x2.0mm,2,8MHz 10pF,
