Designator,Mid X,Mid Y,Rotation,Layer
C10_2,131.544622,-169.195,0.0,top
C10,113.3096,-170.134,180.0,top
C11,135.832622,-157.273,0.0,top
C12,134.719622,-159.123,0.0,top
C13,134.743622,-161.509,270.0,top
C14_2,103.4716,-141.804,180.0,top
C14,122.2536,-141.804,180.0,top
C15,109.3996,-146.999,0.0,top
C16,117.9746,-159.076,0.0,top
C17,115.5956,-158.374,90.0,top
C2_2,110.0936,-160.686,0.0,top
C2,126.568622,-160.651,90.0,top
C3_2,106.0816,-177.725,0.0,top
C3,124.541622,-175.595,270.0,top
C4_2,118.2176,-155.641,0.0,top
C4,128.3816,-146.999,0.0,top
C5_2,106.8976,-147.915,90.0,top
C5,125.8796,-147.915,90.0,top
C6_2,104.1696,-147.521,0.0,top
C6,123.1516,-147.521,0.0,top
C7_2,103.1586,-153.204,90.0,top
C7,122.118622,-153.26,90.0,top
C8_2,108.7086,-126.726,0.0,top
C8,131.711661,-130.072,180.0,top
C9_2,111.3026,-126.088,270.0,top
C9,131.711661,-136.012,180.0,top
D1_2,135.821622,-113.848,0.0,top
D1,106.7846,-119.315,90.0,top
F1_2,106.7846,-114.641,90.0,top
F1,135.4936,-111.073,180.0,top
FB1_2,136.968622,-159.789,90.0,top
FB1,117.9746,-157.491,0.0,top
J1_2,118.7956,-133.264,90.0,top
J1,122.5456,-133.264,270.0,top
J2_2,114.0926,-116.934,180.0,top
J2,127.2486,-116.934,0.0,top
J3_2,126.2686,-105.694,180.0,top
J3,115.0726,-105.694,180.0,top
J4_3,120.583,-181.955,180.0,top
J4_2,129.8186,-144.077,0.0,top
J4,111.5226,-143.877,0.0,top
L1_2,106.7846,-109.559,90.0,top
L1,135.6936,-108.286,180.0,top
R1_2,123.857622,-153.249,270.0,top
R1,107.0686,-128.458,180.0,top
R10_2,126.0346,-144.366,270.0,top
R10,107.1366,-144.121,270.0,top
R2_2,118.4386,-111.217,0.0,top
R2,128.4476,-111.299,0.0,top
R3_2,123.4556,-111.299,180.0,top
R3,111.9486,-111.24,180.0,top
R4_2,137.0706,-132.485,180.0,top
R4,107.0686,-130.249,0.0,top
R5,137.0706,-134.242,180.0,top
R6_2,126.511622,-167.893,270.0,top
R6,108.5916,-168.372,270.0,top
R7_2,126.537622,-164.23,270.0,top
R7,108.5816,-165.234,270.0,top
R8_2,104.8456,-153.236,270.0,top
R8,126.2846,-140.284,90.0,top
R9_2,124.6596,-141.094,90.0,top
R9,106.9186,-141.804,0.0,top
RN1_2,136.1526,-175.299,90.0,top
RN1,105.1886,-174.799,270.0,top
RN2_2,129.0346,-179.177,0.0,top
RN2,112.3066,-179.177,0.0,top
RN3_2,137.912622,-154.434,270.0,top
RN3,103.7456,-157.673,270.0,top
SW29_2,105.6726,-103.151,180.0,top
SW29,135.6686,-103.151,180.0,top
U1_2,111.8536,-174.439,90.0,top
U1,129.4876,-174.439,90.0,top
U2_2,112.3856,-165.218,90.0,top
U2,130.358622,-164.346,90.0,top
U3_2,114.3176,-123.862,0.0,top
U3,128.0706,-125.252,180.0,top
U4_2,131.5316,-133.081,90.0,top
U4,108.3646,-123.901,0.0,top
U5_2,111.4796,-153.081,270.0,top
U5,130.4616,-153.081,270.0,top
U6_2,104.1696,-144.448,0.0,top
U6,123.1516,-144.448,0.0,top
Y1_2,104.089539,-149.997,0.0,top
Y1,123.071539,-149.997,0.0,top
