Designator,Mid X,Mid Y,Rotation,Layer
J4_3,32.15,-11.3685,0.0,top
J4_2,9.95,-11.3685,0.0,top
J4,54.35,-11.3685,0.0,top
R1_3,11.45,-15.5765,270.0,top
R1_2,55.85,-15.5765,270.0,top
R1,33.65,-15.5765,270.0,top
R2_3,9.95,-15.5765,270.0,top
R2_2,54.35,-15.5765,270.0,top
R2,32.15,-15.5765,270.0,top
R3_3,52.85,-15.5635,90.0,top
R3_2,8.45,-15.5635,90.0,top
R3,30.65,-15.5635,90.0,top
R4_3,51.501,-20.8305,180.0,top
R4_2,7.101,-20.8305,180.0,top
R4,29.301,-20.8305,180.0,top
R5_3,29.301,-19.3305,180.0,top
R5_2,51.501,-19.3305,180.0,top
R5,7.101,-19.3305,180.0,top
R6_3,29.301,-17.8305,0.0,top
R6_2,7.101,-17.8305,0.0,top
R6,51.501,-17.8305,0.0,top
R7_3,35.301,-20.8305,0.0,top
R7_2,57.501,-20.8305,0.0,top
R7,13.101,-20.8305,0.0,top
R8_3,57.501,-19.3305,0.0,top
R8_2,35.301,-19.3305,0.0,top
R8,13.101,-19.3305,0.0,top
R9_3,13.101,-17.8305,180.0,top
R9_2,35.301,-17.8305,180.0,top
R9,57.501,-17.8305,180.0,top
SW1_3,4.025,-29.5505,0.0,top
SW1_2,26.225,-29.5505,0.0,top
SW1,48.425,-29.5505,0.0,top
SW2_3,38.075,-29.5505,0.0,bottom
SW2_2,60.275,-29.5505,0.0,bottom
SW2,15.875,-29.5505,0.0,bottom
